"","edad","genero","estado","feliz"
"99",46,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"100",51,"MASCULINO","DURANGO","FELIZ"
"101",60,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"102",32,"FEMENINO","CHIHUAHUA","NO FELIZ"
"103",34,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"104",45,"MASCULINO","CHIHUAHUA","FELIZ"
"105",65,"MASCULINO","COAHUILA","NO FELIZ"
"106",41,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"107",64,"FEMENINO","NUEVO LEÓN","FELIZ"
"108",43,"MASCULINO","CHIHUAHUA","NO FELIZ"
"109",25,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"110",59,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"111",47,"MASCULINO","SONORA","FELIZ"
"112",44,"FEMENINO","COAHUILA","FELIZ"
"113",26,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"114",31,"MASCULINO","COAHUILA","NO FELIZ"
"115",26,"MASCULINO","COAHUILA","NO FELIZ"
"116",30,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"117",23,"FEMENINO","COAHUILA","NO FELIZ"
"118",65,"FEMENINO","NUEVO LEÓN","FELIZ"
"119",54,"MASCULINO","NUEVO LEÓN","FELIZ"
"120",33,"FEMENINO","COAHUILA","NO FELIZ"
"121",64,"MASCULINO","DURANGO","NO FELIZ"
"122",47,"FEMENINO","DURANGO","NO FELIZ"
"123",24,"MASCULINO","DURANGO","FELIZ"
"124",61,"FEMENINO","SONORA","FELIZ"
"125",21,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"126",40,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"127",23,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"128",44,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"129",55,"FEMENINO","TAMAULIPAS","FELIZ"
"130",49,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"131",51,"MASCULINO","SONORA","NO FELIZ"
"132",22,"MASCULINO","NUEVO LEÓN","FELIZ"
"133",33,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"134",50,"FEMENINO","NUEVO LEÓN","FELIZ"
"135",19,"MASCULINO","CHIHUAHUA","FELIZ"
"136",52,"MASCULINO","CHIHUAHUA","FELIZ"
"137",61,"FEMENINO","CHIHUAHUA","FELIZ"
"138",57,"MASCULINO","DURANGO","FELIZ"
"139",49,"FEMENINO","COAHUILA","NO FELIZ"
"140",37,"FEMENINO","COAHUILA","FELIZ"
"141",34,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"142",60,"FEMENINO","SONORA","FELIZ"
"143",41,"FEMENINO","SONORA","NO FELIZ"
"144",57,"FEMENINO","TAMAULIPAS","FELIZ"
"145",30,"FEMENINO","CHIHUAHUA","FELIZ"
"146",51,"FEMENINO","DURANGO","FELIZ"
"147",62,"FEMENINO","COAHUILA","NO FELIZ"
"148",26,"MASCULINO","NUEVO LEÓN","FELIZ"
"149",40,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"150",56,"FEMENINO","NUEVO LEÓN","FELIZ"
"151",64,"MASCULINO","TAMAULIPAS","FELIZ"
"152",34,"FEMENINO","TAMAULIPAS","FELIZ"
"153",40,"MASCULINO","SONORA","FELIZ"
"154",25,"MASCULINO","COAHUILA","FELIZ"
"155",36,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"156",54,"FEMENINO","CHIHUAHUA","FELIZ"
"157",31,"FEMENINO","COAHUILA","FELIZ"
"158",25,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"159",22,"FEMENINO","SONORA","NO FELIZ"
"160",60,"FEMENINO","COAHUILA","FELIZ"
"161",43,"FEMENINO","DURANGO","NO FELIZ"
"162",27,"FEMENINO","DURANGO","FELIZ"
"163",43,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"164",45,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"165",39,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"166",53,"MASCULINO","TAMAULIPAS","FELIZ"
"167",51,"FEMENINO","CHIHUAHUA","NO FELIZ"
"168",21,"MASCULINO","COAHUILA","NO FELIZ"
"169",65,"FEMENINO","NUEVO LEÓN","FELIZ"
"170",64,"FEMENINO","TAMAULIPAS","FELIZ"
"171",23,"FEMENINO","SONORA","FELIZ"
"172",64,"FEMENINO","TAMAULIPAS","NO FELIZ"
"173",47,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"174",22,"MASCULINO","CHIHUAHUA","FELIZ"
"175",55,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"176",18,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"177",21,"FEMENINO","NUEVO LEÓN","FELIZ"
"178",24,"FEMENINO","SONORA","NO FELIZ"
"179",42,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"180",24,"FEMENINO","DURANGO","NO FELIZ"
"181",43,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"182",50,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"183",29,"MASCULINO","TAMAULIPAS","NO FELIZ"
"184",61,"FEMENINO","TAMAULIPAS","FELIZ"
"185",29,"FEMENINO","COAHUILA","NO FELIZ"
"186",26,"MASCULINO","COAHUILA","NO FELIZ"
"187",43,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"188",63,"FEMENINO","DURANGO","NO FELIZ"
"189",42,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"190",24,"FEMENINO","TAMAULIPAS","NO FELIZ"
"191",62,"FEMENINO","CHIHUAHUA","NO FELIZ"
"192",59,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"193",61,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"194",42,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"195",61,"FEMENINO","DURANGO","NO FELIZ"
"196",51,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"197",28,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"198",47,"MASCULINO","CHIHUAHUA","NO FELIZ"
"199",60,"MASCULINO","CHIHUAHUA","FELIZ"
"200",40,"MASCULINO","COAHUILA","NO FELIZ"
"201",20,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"202",34,"FEMENINO","TAMAULIPAS","FELIZ"
"203",65,"MASCULINO","COAHUILA","FELIZ"
"204",34,"MASCULINO","SONORA","FELIZ"
"205",55,"FEMENINO","SONORA","NO FELIZ"
"206",55,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"207",23,"MASCULINO","TAMAULIPAS","NO FELIZ"
"208",25,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"209",52,"MASCULINO","COAHUILA","FELIZ"
"210",43,"FEMENINO","COAHUILA","FELIZ"
"211",37,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"212",20,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"213",52,"FEMENINO","COAHUILA","FELIZ"
"214",65,"FEMENINO","TAMAULIPAS","FELIZ"
"215",41,"FEMENINO","COAHUILA","FELIZ"
"216",46,"MASCULINO","DURANGO","NO FELIZ"
"217",18,"MASCULINO","SONORA","NO FELIZ"
"218",32,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"219",54,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"220",37,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"221",50,"MASCULINO","CHIHUAHUA","NO FELIZ"
"222",60,"FEMENINO","COAHUILA","FELIZ"
"223",30,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"224",34,"MASCULINO","DURANGO","NO FELIZ"
"225",46,"FEMENINO","DURANGO","FELIZ"
"226",59,"FEMENINO","TAMAULIPAS","FELIZ"
"227",57,"MASCULINO","COAHUILA","NO FELIZ"
"228",39,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"229",38,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"230",26,"MASCULINO","NUEVO LEÓN","FELIZ"
"231",24,"MASCULINO","NUEVO LEÓN","FELIZ"
"232",26,"MASCULINO","TAMAULIPAS","NO FELIZ"
"233",37,"FEMENINO","CHIHUAHUA","FELIZ"
"234",28,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"235",61,"FEMENINO","COAHUILA","FELIZ"
"236",59,"MASCULINO","CHIHUAHUA","NO FELIZ"
"237",58,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"238",42,"FEMENINO","TAMAULIPAS","FELIZ"
"239",28,"MASCULINO","DURANGO","NO FELIZ"
"240",23,"FEMENINO","TAMAULIPAS","FELIZ"
"241",21,"FEMENINO","DURANGO","NO FELIZ"
"242",51,"MASCULINO","TAMAULIPAS","NO FELIZ"
"243",34,"MASCULINO","COAHUILA","NO FELIZ"
"244",23,"FEMENINO","SONORA","FELIZ"
"245",42,"FEMENINO","CHIHUAHUA","FELIZ"
"246",43,"MASCULINO","DURANGO","NO FELIZ"
"247",43,"MASCULINO","NUEVO LEÓN","FELIZ"
"248",36,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"249",35,"MASCULINO","SONORA","NO FELIZ"
"250",58,"FEMENINO","DURANGO","NO FELIZ"
"251",20,"MASCULINO","DURANGO","FELIZ"
"252",37,"FEMENINO","TAMAULIPAS","NO FELIZ"
"253",37,"FEMENINO","TAMAULIPAS","NO FELIZ"
"254",47,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"255",57,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"256",44,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"257",36,"FEMENINO","SONORA","NO FELIZ"
"258",25,"MASCULINO","SONORA","FELIZ"
"259",18,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"260",47,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"261",33,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"262",30,"FEMENINO","TAMAULIPAS","NO FELIZ"
"263",35,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"264",58,"FEMENINO","CHIHUAHUA","FELIZ"
"265",48,"FEMENINO","SONORA","NO FELIZ"
"266",63,"FEMENINO","SONORA","FELIZ"
"267",42,"FEMENINO","NUEVO LEÓN","FELIZ"
"268",32,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"269",59,"MASCULINO","CHIHUAHUA","NO FELIZ"
"270",39,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"271",44,"MASCULINO","NUEVO LEÓN","FELIZ"
"272",21,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"273",58,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"274",32,"MASCULINO","COAHUILA","FELIZ"
"275",45,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"276",30,"FEMENINO","CHIHUAHUA","NO FELIZ"
"277",26,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"278",45,"MASCULINO","CHIHUAHUA","FELIZ"
"279",23,"FEMENINO","DURANGO","FELIZ"
"280",31,"FEMENINO","NUEVO LEÓN","FELIZ"
"281",27,"MASCULINO","COAHUILA","NO FELIZ"
"282",57,"MASCULINO","SONORA","FELIZ"
"283",59,"FEMENINO","SONORA","NO FELIZ"
"284",40,"MASCULINO","TAMAULIPAS","FELIZ"
"285",59,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"286",23,"MASCULINO","CHIHUAHUA","FELIZ"
"287",57,"MASCULINO","CHIHUAHUA","NO FELIZ"
"288",37,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"289",42,"MASCULINO","SONORA","NO FELIZ"
"290",38,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"291",27,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"292",35,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"293",18,"MASCULINO","CHIHUAHUA","FELIZ"
"294",40,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"295",53,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"296",60,"MASCULINO","NUEVO LEÓN","FELIZ"
"297",50,"FEMENINO","SONORA","NO FELIZ"
"298",43,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"299",65,"MASCULINO","SONORA","NO FELIZ"
"300",33,"FEMENINO","TAMAULIPAS","NO FELIZ"
"301",48,"FEMENINO","CHIHUAHUA","NO FELIZ"
"302",20,"MASCULINO","TAMAULIPAS","FELIZ"
"303",37,"MASCULINO","CHIHUAHUA","NO FELIZ"
"304",54,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"305",52,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"306",33,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"307",58,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"308",48,"MASCULINO","TAMAULIPAS","FELIZ"
"309",21,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"310",27,"FEMENINO","DURANGO","FELIZ"
"311",60,"MASCULINO","SONORA","NO FELIZ"
"312",63,"FEMENINO","TAMAULIPAS","FELIZ"
"313",53,"FEMENINO","COAHUILA","NO FELIZ"
"314",44,"FEMENINO","SONORA","FELIZ"
"315",48,"MASCULINO","NUEVO LEÓN","FELIZ"
"316",39,"FEMENINO","SONORA","FELIZ"
"317",46,"FEMENINO","CHIHUAHUA","NO FELIZ"
"318",63,"FEMENINO","COAHUILA","NO FELIZ"
"319",42,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"320",18,"FEMENINO","NUEVO LEÓN","FELIZ"
"321",26,"MASCULINO","COAHUILA","FELIZ"
"322",41,"MASCULINO","DURANGO","NO FELIZ"
"323",23,"FEMENINO","DURANGO","FELIZ"
"324",22,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"325",37,"FEMENINO","COAHUILA","FELIZ"
"326",58,"MASCULINO","TAMAULIPAS","FELIZ"
"327",23,"FEMENINO","COAHUILA","FELIZ"
"328",53,"MASCULINO","SONORA","FELIZ"
"329",27,"MASCULINO","TAMAULIPAS","NO FELIZ"
"330",63,"MASCULINO","DURANGO","NO FELIZ"
"331",40,"MASCULINO","TAMAULIPAS","NO FELIZ"
"332",54,"MASCULINO","NUEVO LEÓN","FELIZ"
"333",29,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"334",18,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"335",21,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"336",61,"FEMENINO","NUEVO LEÓN","FELIZ"
"337",41,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"338",61,"FEMENINO","DURANGO","FELIZ"
"339",39,"FEMENINO","COAHUILA","FELIZ"
"340",42,"MASCULINO","NUEVO LEÓN","FELIZ"
"341",27,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"342",54,"MASCULINO","SONORA","NO FELIZ"
"343",25,"MASCULINO","COAHUILA","FELIZ"
"344",59,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"345",44,"FEMENINO","SONORA","FELIZ"
"346",41,"FEMENINO","TAMAULIPAS","FELIZ"
"347",60,"FEMENINO","NUEVO LEÓN","FELIZ"
"348",46,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"349",47,"MASCULINO","DURANGO","FELIZ"
"350",27,"MASCULINO","COAHUILA","NO FELIZ"
"351",41,"MASCULINO","TAMAULIPAS","FELIZ"
"352",52,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"353",20,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"354",37,"FEMENINO","CHIHUAHUA","FELIZ"
"355",48,"FEMENINO","DURANGO","FELIZ"
"356",20,"FEMENINO","CHIHUAHUA","FELIZ"
"357",22,"MASCULINO","CHIHUAHUA","FELIZ"
"358",51,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"359",28,"MASCULINO","TAMAULIPAS","FELIZ"
"360",30,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"361",40,"FEMENINO","NUEVO LEÓN","FELIZ"
"362",50,"FEMENINO","DURANGO","NO FELIZ"
"363",62,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"364",63,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"365",39,"MASCULINO","NUEVO LEÓN","FELIZ"
"366",40,"MASCULINO","TAMAULIPAS","NO FELIZ"
"367",45,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"368",47,"MASCULINO","DURANGO","NO FELIZ"
"369",29,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"370",20,"MASCULINO","COAHUILA","NO FELIZ"
"371",27,"FEMENINO","TAMAULIPAS","FELIZ"
"372",19,"FEMENINO","COAHUILA","FELIZ"
"373",50,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"374",23,"FEMENINO","DURANGO","FELIZ"
"375",58,"MASCULINO","CHIHUAHUA","NO FELIZ"
"376",18,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"377",30,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"378",33,"MASCULINO","CHIHUAHUA","NO FELIZ"
"379",28,"FEMENINO","CHIHUAHUA","NO FELIZ"
"380",22,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"381",18,"MASCULINO","CHIHUAHUA","FELIZ"
"382",47,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"383",23,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"384",62,"FEMENINO","CHIHUAHUA","FELIZ"
"385",33,"FEMENINO","DURANGO","NO FELIZ"
"386",31,"FEMENINO","TAMAULIPAS","FELIZ"
"387",48,"FEMENINO","SONORA","FELIZ"
"388",62,"FEMENINO","NUEVO LEÓN","FELIZ"
"389",41,"MASCULINO","CHIHUAHUA","NO FELIZ"
"390",54,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"391",23,"FEMENINO","NUEVO LEÓN","FELIZ"
"392",25,"MASCULINO","COAHUILA","FELIZ"
"393",46,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"394",33,"MASCULINO","DURANGO","NO FELIZ"
"395",27,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"396",20,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"397",34,"MASCULINO","DURANGO","FELIZ"
"398",41,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"399",38,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"400",60,"FEMENINO","CHIHUAHUA","FELIZ"
"401",24,"FEMENINO","DURANGO","NO FELIZ"
"402",56,"MASCULINO","BAJA CALIFORNIA SUR","FELIZ"
"403",22,"MASCULINO","CHIHUAHUA","FELIZ"
"404",25,"FEMENINO","DURANGO","FELIZ"
"405",40,"MASCULINO","SONORA","NO FELIZ"
"406",55,"FEMENINO","TAMAULIPAS","FELIZ"
"407",28,"FEMENINO","SONORA","FELIZ"
"408",30,"MASCULINO","DURANGO","FELIZ"
"409",41,"FEMENINO","SONORA","NO FELIZ"
"410",59,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"411",55,"MASCULINO","CHIHUAHUA","FELIZ"
"412",40,"MASCULINO","CHIHUAHUA","FELIZ"
"413",18,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"414",41,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"415",29,"FEMENINO","DURANGO","NO FELIZ"
"416",20,"MASCULINO","SONORA","NO FELIZ"
"417",28,"MASCULINO","TAMAULIPAS","NO FELIZ"
"418",59,"MASCULINO","TAMAULIPAS","FELIZ"
"419",31,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"420",53,"FEMENINO","SONORA","NO FELIZ"
"421",30,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"422",21,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"423",33,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"424",23,"FEMENINO","NUEVO LEÓN","FELIZ"
"425",37,"MASCULINO","NUEVO LEÓN","FELIZ"
"426",32,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"427",55,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"428",32,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"429",64,"FEMENINO","COAHUILA","NO FELIZ"
"430",48,"FEMENINO","TAMAULIPAS","FELIZ"
"431",18,"FEMENINO","SONORA","FELIZ"
"432",29,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"433",65,"MASCULINO","DURANGO","NO FELIZ"
"434",34,"MASCULINO","DURANGO","NO FELIZ"
"435",40,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"436",65,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"437",58,"MASCULINO","DURANGO","FELIZ"
"438",64,"MASCULINO","SONORA","NO FELIZ"
"439",46,"FEMENINO","COAHUILA","FELIZ"
"440",50,"FEMENINO","SONORA","NO FELIZ"
"441",29,"MASCULINO","CHIHUAHUA","FELIZ"
"442",34,"FEMENINO","CHIHUAHUA","NO FELIZ"
"443",62,"FEMENINO","BAJA CALIFORNIA SUR","NO FELIZ"
"444",58,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"445",33,"MASCULINO","TAMAULIPAS","FELIZ"
"446",63,"FEMENINO","SONORA","FELIZ"
"447",51,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"448",53,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"449",28,"FEMENINO","CHIHUAHUA","FELIZ"
"450",57,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"451",50,"FEMENINO","TAMAULIPAS","FELIZ"
